94TT, , 90’s CHAMPION 1/4 SWEATSHIRT / SMALL /  S  /  Grey  / 94TT,FALSE,£44.95,68.67750000000001, S ,Pit to pit: 21" // Shoulder to bottom: 28" , Grey ,Champion,Size on label: S <br>Recommended size: S <br>Pit to pit: 21" // Shoulder to bottom: 28" <br>Colour: Grey <br>Condition: Very good vintage condition! ,http://cdn.shopify.com/s/files/1/0380/3099/9685/products/F34EFD94-45B0-43C5-A94E-D410B36CB67E.jpg?v=1607684284|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/800AE0A7-C433-4D58-B5C9-FE6E0A9406BE.jpg?v=1607684284,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/vintage-90-s-champion-1-4-sweatshirt-1
95TT, , 90’s CHAMPION 1/4 SWEATSHIRT / LARGE /  L /  Grey  / 95TT,FALSE,£44.95,68.67750000000001, L,Pit to pit: 24" // Shoulder to bottom: 30" , Grey ,Champion,Size on label: L<br>Recommended size: L<br>Pit to pit: 24" // Shoulder to bottom: 30" <br>Colour: Grey <br>Condition: Very good vintage condition! ,http://cdn.shopify.com/s/files/1/0380/3099/9685/products/2669AC15-86DB-48B9-BE6E-4A3D4FE2D243.jpg?v=1607684234|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/5A580101-9229-4231-A549-F7CB19EE3512.jpg?v=1607684231|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/FBC6E0B4-FC98-464E-8B34-D98E7AE9F89A.jpg?v=1607684234,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/vintage-90-s-champion-1-4-sweatshirt
96TT, , 90’s NIKE HOODIE / LARGE /  L /  Navy  / 96TT,FALSE,£79.95,103.935, L,Pit to pit: 27" // Shoulder to bottom: 29" , Navy ,Nike,Size on label: L<br>Recommended size: L<br>Pit to pit: 27" // Shoulder to bottom: 29" <br>Colour: Navy <br>Condition: Excellent vintage condition! ,http://cdn.shopify.com/s/files/1/0380/3099/9685/products/F96BCDB3-EA4A-4E7C-BBDA-82DCE7778DFD.jpg?v=1607684154|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/33404669-D5B4-455B-A3EE-7509F04E4E0E.jpg?v=1607684154|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/F3F61F97-4497-48C4-AFA8-C42B1503F301.jpg?v=1607684154|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/60ACD256-570D-4177-9164-CD6A52EF2974.jpg?v=1607684154,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/vintage-90-s-nike-hoodie
97TT, , 90's Nike Cortez Hoodie / Medium /  M /  Black / White  / 97TT,FALSE,£39.95,61.4275, M,Pit to pit: 24" // Shoulder to bottom: 26" , Black / White ,Nike,Size on label: M<br>Recommended size: M<br>Pit to pit: 24" // Shoulder to bottom: 26" <br>Colour: Black / White <br>Condition: Very good vintage condition. ,http://cdn.shopify.com/s/files/1/0380/3099/9685/products/B2F4690B-5AB0-409E-9B5A-B11F3B4B4C33.jpg?v=1607011102|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/C9B0E817-4C73-44FD-9B75-B4ED6145B9D0.jpg?v=1607011102|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/08B25264-85D0-43C8-A994-ED616053110B.jpg?v=1607011102,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/vintage-90s-nike-cortez-hoodie-medium
98TT, ,DEADSTOCK NIKE HOODIE / MEDIUM /  M /  Chocolate Brown  / 98TT,FALSE,£44.95,68.67750000000001, M,Pit to pit: 23" // Shoulder to bottom: 26.5" , Chocolate Brown ,Nike,Size on label: M<br>Recommended size: M<br>Pit to pit: 23" // Shoulder to bottom: 26.5" <br>Colour: Chocolate Brown <br>Condition: New with tags.  ,http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3311_be4c0933-bba1-4525-9cfe-944bbc69ab23.jpg?v=1606336269|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3312_ec3ab451-f09c-42b5-a894-8f7bae0ec817.jpg?v=1606336269|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3313_b5b9b264-1d2f-400b-ba32-45aef9a23d67.jpg?v=1606336269,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/deadstock-nike-hoodie-medium-1
99TT, ,DEADSTOCK NIKE HOODIE / MEDIUM /  M /  Yellow  / 99TT,FALSE,£44.95,68.67750000000001, M,Pit to pit: 23" // Shoulder to bottom: 27" , Yellow ,Nike,Size on label: M<br>Recommended size: M<br>Pit to pit: 23" // Shoulder to bottom: 27" <br>Colour: Yellow <br>Condition: New with tags.  ,http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3296_280f6e6c-393d-4a18-8116-9b569eee4252.jpg?v=1606335603|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3297_0fe3f0af-ceba-4659-84b0-59608f5267b1.jpg?v=1606335604|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3299_9a5321cf-7a57-4f2f-9482-ccb1d398ef74.jpg?v=1606335605|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3300_89b6e915-37df-4132-8a25-42ca5d88766a.jpg?v=1606335604,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/deadstock-nike-hoodie-medium
100TT, ,DEADSTOCK STUSSY HOODIE / SMALL /  S /  Neon Green  / 100TT,FALSE,£64.95,87.6825, S,Pit to pit: 23" // Shoulder to bottom: 28" , Neon Green ,Stussy,Size on label: S<br>Recommended size: S<br>Pit to pit: 23" // Shoulder to bottom: 28" <br>Colour: Neon Green <br>Condition: Brand new never been worn!  ,http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3278_79ef5410-0bbf-4fac-b8a2-39d15b84c56f.jpg?v=1606333392|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3276_f8e1f8b8-438c-45ca-9a18-dbfafe6c535a.jpg?v=1606333392|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3277_12d40c48-8bb3-433f-b938-fae34ffca8ce.jpg?v=1606333392,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/deadstock-stussy-hoodie-small
101TT, ,DEADSTOCK STUSSY HOODIE / MEDIUM /  M /  Neon Pink  / 101TT,FALSE,£69.95,94.4325, M,Pit to pit: 22" // Shoulder to bottom: 27" , Neon Pink ,Stussy,Size on label: M<br>Recommended size: M<br>Pit to pit: 22" // Shoulder to bottom: 27" <br>Colour: Neon Pink <br>Condition: New with tags. ,http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3273_5f06b622-39c3-43fc-b12d-86ad2308797f.jpg?v=1606333166|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3272_16757173-3d96-4396-bd5a-2cd8fafa982b.jpg?v=1606333167|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3275_ddd371b4-582e-408f-9f6f-10b2f6ff5b5e.jpg?v=1606333166,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/deadstock-stussy-hoodie-medium
102TT, ,RARE PALACE BURB CREW SWEATSHIRT / MEDIUM /  M /  Green   / 102TT,FALSE,£114.95,149.435, M,Pit to pit: 22.5" // Shoulder to bottom: 28" , Green  ,Palace,Size on label: M<br>Recommended size: M<br>Pit to pit: 22.5" // Shoulder to bottom: 28" <br>Colour: Green  <br>Condition: Excellent condition!  ,http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3264.jpg?v=1606332621|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3265.jpg?v=1606332621,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/rare-palace-burb-crew-sweatshirt-medium
103TT, ,RARE PALACE ESPIRITO CREW SWEATSHIRT / MEDIUM /  M /  Black  / 103TT,FALSE,£149.95,194.935, M,Pit to pit: 23" // Shoulder to bottom: 29" , Black ,Palace,Size on label: M<br>Recommended size: M<br>Pit to pit: 23" // Shoulder to bottom: 29" <br>Colour: Black <br>Condition: Excellent condition!  ,http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3251.jpg?v=1606331480|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3252_cb9a6276-bc9e-439c-92df-a926a4697978.jpg?v=1606331481|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3253_38b8f706-ff10-4f2a-951a-4ecd9b9d9dc7.jpg?v=1606331480|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3254_de5f6b19-553b-4c50-93b3-e21ffbc1234e.jpg?v=1606331480|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3255_3ff603bc-ec9e-4d27-9b4d-e55fc72fb509.jpg?v=1606331480,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/rare-palace-espirito-crew-sweatshirt-medium
