Image Code,Title,Uploaded,Price,Listing Price,size,Measurements,Colour,Brand,Description,Item Url
16TT,DEADSTOCK NIKE HOODIE / MEDIUM /  M /  Chocolate Brown ,FALSE,£44.95,68.67750000000001, M,Pit to pit: 23" // Shoulder to bottom: 26.5" , Chocolate Brown ,Nike,Size on label: M<br>Recommended size: M<br>Pit to pit: 23" // Shoulder to bottom: 26.5" <br>Colour: Chocolate Brown <br>Condition: New with tags.  ,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/deadstock-nike-hoodie-medium-1
17TT,DEADSTOCK NIKE HOODIE / MEDIUM /  M /  Yellow ,FALSE,£44.95,68.67750000000001, M,Pit to pit: 23" // Shoulder to bottom: 27" , Yellow ,Nike,Size on label: M<br>Recommended size: M<br>Pit to pit: 23" // Shoulder to bottom: 27" <br>Colour: Yellow <br>Condition: New with tags.  ,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/deadstock-nike-hoodie-medium
18TT,DEADSTOCK STUSSY HOODIE / SMALL /  S /  Neon Green ,FALSE,£64.95,87.6825, S,Pit to pit: 23" // Shoulder to bottom: 28" , Neon Green ,Stussy,Size on label: S<br>Recommended size: S<br>Pit to pit: 23" // Shoulder to bottom: 28" <br>Colour: Neon Green <br>Condition: Brand new, never been worn!  ,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/deadstock-stussy-hoodie-small
19TT,DEADSTOCK STUSSY HOODIE / MEDIUM /  M /  Neon Pink ,FALSE,£69.95,94.4325, M,Pit to pit: 22" // Shoulder to bottom: 27" , Neon Pink ,Stussy,Size on label: M<br>Recommended size: M<br>Pit to pit: 22" // Shoulder to bottom: 27" <br>Colour: Neon Pink <br>Condition: New with tags. ,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/deadstock-stussy-hoodie-medium
20TT,RARE PALACE BURB CREW SWEATSHIRT / MEDIUM /  M /  Green  ,FALSE,£114.95,149.435, M,Pit to pit: 22.5" // Shoulder to bottom: 28" , Green  ,Palace,Size on label: M<br>Recommended size: M<br>Pit to pit: 22.5" // Shoulder to bottom: 28" <br>Colour: Green  <br>Condition: Excellent condition!  ,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/rare-palace-burb-crew-sweatshirt-medium
21TT,RARE PALACE ESPIRITO CREW SWEATSHIRT / MEDIUM /  M /  Black ,FALSE,£149.95,194.935, M,Pit to pit: 23" // Shoulder to bottom: 29" , Black ,Palace,Size on label: M<br>Recommended size: M<br>Pit to pit: 23" // Shoulder to bottom: 29" <br>Colour: Black <br>Condition: Excellent condition!  ,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/rare-palace-espirito-crew-sweatshirt-medium
22TT,Deadstock Ralph Lauren Polo Bear Sweatshirt / Large /  L /  Grey ,FALSE,£79.95,103.935, L,Pit to pit: 21" // Shoulder to bottom: 24" , Grey ,Ralph Lauren,Size on label: L<br>Recommended size: L<br>Pit to pit: 21" // Shoulder to bottom: 24" <br>Colour: Grey <br>Condition: Brand new, never worn. ,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/deadstock-ralph-lauren-polo-bear-sweatshirt-large
23TT, 90’S NIKE SPELLOUT SWEATSHIRT / SMALL / *Bootleg Nike  / Pit to pit: 22" // Shoulder to bottom: 28" ,FALSE,£74.95,97.435,*Bootleg Nike ,Recommended size: S,Pit to pit: 22" // Shoulder to bottom: 28" ,Nike,*Bootleg Nike <br>Size on label: S<br>Recommended size: S<br>Pit to pit: 22" // Shoulder to bottom: 28" <br>Colour: Red ,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/vintage-90s-nike-sweatshirt-large
24TT, 90's Nike Spellout Sweatshirt / Small / *Bootleg Nike / Pit to pit: 22" // Shoulder to bottom: 28" ,FALSE,£74.95,97.435,*Bootleg Nike,Recommended size: S,Pit to pit: 22" // Shoulder to bottom: 28" ,Nike,*Bootleg Nike<br>Size on label: S<br>Recommended size: S<br>Pit to pit: 22" // Shoulder to bottom: 28" <br>Colour: Navy ,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/vintage-90s-nike-sweatshirt-small
25TT, Champion Hoodie / Xtra Large /  XL /  Grey ,FALSE,£29.95,48.425, XL,Pit to pit: 27" // Shoulder to bottom: 30" , Grey ,Champion,Size on label: XL<br>Recommended size: XL<br>Pit to pit: 27" // Shoulder to bottom: 30" <br>Colour: Grey <br>Condition: Very good vintage condition! ,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/vintage-champion-hoodie-xtra-large
26TT, 80's Puma Sweatshirt / Medium /  40 /  Mint / Purple ,FALSE,£34.95,54.1775, 40,Pit to pit: 23" // Shoulder to bottom: 26" , Mint / Purple ,Puma,Size on label: 40<br>Recommended size: M<br>Pit to pit: 23" // Shoulder to bottom: 26" <br>Colour: Mint / Purple <br>Condition: Very good vintage condition! Some signs of wear. ,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/vintage-80s-puma-sweatshirt-medium-1
27TT, Disneyland Paris Sweatshirt / Large /  L /  Grey ,FALSE,£39.95,61.4275, L,Pit to pit: 24" // Shoulder to bottom: 29" , Grey ,Disney,Size on label: L<br>Recommended size: L<br>Pit to pit: 24" // Shoulder to bottom: 29" <br>Colour: Grey <br>Condition: Very good vintage condition! ,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/vintage-disneyland-paris-sweatshirt-large
28TT, 00's Adidas Sweatshirt / Large /  L /  Red,FALSE,£29.95,48.425, L,Pit to pit: 24" // Shoulder to bottom: 29" , Red,Adidas,Size on label: L<br>Recommended size: L<br>Pit to pit: 24" // Shoulder to bottom: 29" <br>Colour: Red<br>Condition: Very good vintage condition! ,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/vintage-00s-adidas-sweatshirt-large-2
29TT, 90's Nike Hoodie / Xtra Large /  XXL /  Navy ,FALSE,£29.95,48.425, XXL,Pit to pit: 27" // Shoulder to bottom: 30" , Navy ,Nike,Size on label: XXL<br>Recommended size: XL<br>Pit to pit: 27" // Shoulder to bottom: 30" <br>Colour: Navy <br>Condition: Very good vintage condition! ,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/vintage-90s-nike-hoodie-xtra-large
30TT, 00's Nike Hoodie / Large /  XL /  Camo Green ,FALSE,£24.95,40.925, XL,Pit to pit: 25" // Shoulder to bottom: 28" , Camo Green ,Nike,Size on label: XL<br>Recommended size: L<br>Pit to pit: 25" // Shoulder to bottom: 28" <br>Colour: Camo Green <br>Condition: Very good vintage condition. ,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/vintage-00s-nike-hoodie-large-1
31TT, 90’s Women’s Nike Sweatshirt / Small /  S /  Pink / Red ,FALSE,£49.95,75.9275, S,Pit to pit: 21" // Shoulder to bottom: 25" , Pink / Red ,Nike,Size on label: S<br>Recommended size: S<br>Pit to pit: 21" // Shoulder to bottom: 25" <br>Colour: Pink / Red <br>Condition: Excellent vintage condition! ,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/deadstock-90-s-women-s-nike-sweatshirt-small
