"October 2020 : UK Category Changes","","","","","","","","","",""
"","","","","","","","","","",""
"Change Type","Count","","","","","","","","",""
"New","276","","","","","","","","",""
"Retired","405","","","","","","","","",""
"Rename","176","","","","","","","","",""
"Move","52","","","","","","","","",""
"Move & Rename","23","","","","","","","","",""
"Total","932","","","","","","","","",""
"","","","","","","","","","",""
"Category Name","","","","","","","","Category ID","Comments","Actions Required"
"+","Antiques","","","","","","","20081","",""
"+","Art","","","","","","","550","",""
"","","","","","Activewear Bottoms","","","185080","All listings are being moved into [Activewear Trousers - 260954].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Activewear Jackets","","","185079","",""
"","","","","","Activewear Trousers","","","260954","New Category",""
"","","","","","Activewear Shorts","","","260955","New Category",""
"","","","","","Activewear Skirts & Skorts","","","261046","New Category",""
"","","","","","Activewear Tops","","","185082","",""
"","","","","","Hoodies & Sweatshirts","","","155226","",""
"","","","","","Sports Bras","","","185083","",""
"","","","","","Tracksuits & Sets","","","185084","",""
"","","","","Coats, Jackets & Waistcoats","","","","63862","",""
"","","","","Dresses","","","","63861","",""
"","","","+","Hosiery & Socks","","","","11524","",""
"","","","","Jeans","","","","11554","",""
"","","","","Jumpers & Cardigans","","","","63866","",""
"","","","","Jumpsuits & Playsuits","","","","3009","",""
"","","","","Leggings","","","","169001","",""
"","","","-","Lingerie & Nightwear","","","","11514","",""
"","","","","","Basques & Corsets","","","11522","",""
"","","","","","Bodies","","","45909","All listings are being moved into [Bodysuits - 45279].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Bras & Bra Sets","","","63853","",""
"","","","","","Mixed Lingerie Sets","","","15746","All listings are being moved into [Bras & Bra Sets - 63853].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Bra Accessories & Solutions","","","163593","",""
"","","","","","Bodysuits","","","45279","New Category",""
"","","","","","Camisoles & Vests","","","11521","",""
"","","","","","Knickers","","","63854","",""
"","","","","","Nightwear","","","63855","",""
"","","","","","Shapewear","","","11530","",""
"","","","","","Slips & Petticoats","","","11532","",""
"","","","","","Suspender Belts","","","163586","",""
"","","","-","Maternity","","","","172378","This Category is being retired.",""
"","","","","","Coats, Jackets & Waistcoats","","","63856","All listings are being moved into [63862].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Dresses","","","11534","All listings are being moved into [63861].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Hoodies & Sweatshirts","","","155206","All listings are being moved into [155226].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Jeans","","","11535","All listings are being moved into [11554].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Jumpers & Cardigans","","","11538","All listings are being moved into [63866].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Jumpsuits & Playsuits","","","53447","All listings are being moved into [3009].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Leggings","","","46809","All listings are being moved into [169001].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Maternity Knickers","","","117769","All listings are being moved into [Knickers - 63854].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Maternity Tights","","","179840","All listings are being moved into [Tights - 11525].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Nightwear","","","117771","All listings are being moved into [63855].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","-","Nursing","","","15751","This Category is being retired.",""
"","","","","","","Bras","","11517","All listings are being moved into [Bras & Bra Sets - 63853].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","","Dresses","","15752","All listings are being moved into [63861].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","","Nightwear","","15755","All listings are being moved into [63855].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","","Tops","","15753","All listings are being moved into [Tops & Shirts - 53159].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Outfits & Sets","","","167903","All listings are being moved into [260011].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Shorts","","","15747","All listings are being moved into [11555].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Skirts","","","11536","All listings are being moved into [63864].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Suits & Suit Separates","","","108898","All listings are being moved into [63865].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Swimwear","","","15748","All listings are being moved into [63867].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Tops & Shirts","","","63858","All listings are being moved into [53159].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Trousers","","","63857","All listings are being moved into [63863].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Bundles","","","15754","All listings are being moved into [Outfits & Sets - 260011].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Outfits & Sets","","","","260011","",""
"","","","","Shorts","","","","11555","",""
"","","","","Skirts","","","","63864","",""
"","","","","Suits & Suit Separates","","","","63865","",""
"","","","","Swimwear","","","","63867","",""
"","","","","Tops & Shirts","","","","53159","",""
"","","","","Trousers","","","","63863","",""
"","","","","Bundles","","","","15788","All listings are being moved into [Outfits & Sets - 260011].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","+","Women's Shoes","","","","","3034","",""
"","","-","Women's Accessories","","","","","4251","",""
"","","","","Belt Buckles","","","","163573","",""
"","","","","Belts","","","","3003","",""
"","","","","Fascinators & Headpieces","","","","168998","",""
"","","","","Gloves & Mittens","","","","105559","",""
"","","","","Hair Accessories","","","","45220","",""
"","","","","Handbag Accessories","","","","163570","",""
"","","","","Hats","","","","45230","",""
"","","","","ID & Document Holders","","","","169285","",""
"","","","","Keyrings","","","","45237","",""
"","","","","Organisers & Diaries","","","","15735","",""
"","","","","Purses & Wallets","","","","45258","",""
"","","","","Scarves & Shawls","","","","45238","",""
"","","","","Shoe Charms & Jewellery","","","","150955","Renamed from [Shoe Charms]",""
"","","","+","Sunglasses & Sunglasses Accessories","","","","179247","",""
"","","","","Ties","","","","151486","",""
"","","","","Umbrellas","","","","105569","",""
"","","","","Accessory Sets","","","","15738","",""
"","-","Men","","","","","","260012","",""
"","","-","Men's Clothing","","","","","1059","",""
"","","","-","Activewear","","","","185099","",""
"","","","","","Activewear Bottoms","","","185075","All listings are being moved into [Activewear Trousers - 260956].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Activewear Jackets","","","185702","",""
"","","","","","Activewear Trousers","","","260956","New Category",""
"","","","","","Activewear Shorts","","","260957","New Category",""
"","","","","","Activewear Tops","","","185076","",""
"","","","","","Hoodies & Sweatshirts","","","155183","",""
"","","","","","Tracksuits & Sets","","","185708","",""
"","","","","Coats, Jackets & Waistcoats","","","","57988","Renamed from [Coats & Jackets]",""
"","","","","Jeans","","","","11483","",""
"","","","","Jumpers & Cardigans","","","","11484","",""
"","","","","Nightwear","","","","11510","",""
"","","","+","Shirts & Tops","","","","185100","",""
"","","","","Shorts","","","","15689","",""
"","","","","Socks","","","","11511","",""
"","","","","Suits & Tailoring","","","","3001","",""
"","","","","Swimwear","","","","15690","",""
"","","","","Trousers","","","","57989","",""
"","","","","Underwear","","","","11507","",""
"","","+","Men's Shoes","","","","","93427","",""
"","","+","Men's Accessories","","","","","4250","",""
"","-","Kids","","","","","","171146","",""
"","","","Backpacks & Bags","","","","","260988","New Category",""
"","","-","Boys","","","","","260013","",""
"","","","-","Boys' Clothing (2-16 Years)","","","","11452","",""
"","","","","-","Activewear","","","260967","New Category",""
"","","","","","","Activewear Jackets","","260968","New Category",""
"","","","","","","Activewear Trousers","","260969","New Category",""
"","","","","","","Activewear Shorts","","260970","New Category",""
"","","","","","","Activewear Tops","","260971","New Category",""
"","","","","","","Hoodies & Sweatshirts","","260972","New Category",""
"","","","","","","Tracksuits & Sets","","260973","New Category",""
"","","","","","Hoodies","","","57916","",""
"","","","","","Jeans","","","77475","",""
"","","","","","Jumpers & Cardigans","","","51946","",""
"","","","","","Nightwear","","","84544","",""
"","","","","","Outerwear","","","51933","Renamed from [Coats, Jackets & Snowsuits]",""
"","","","","","Outfits & Sets","","","156790","",""
"","","","","","Shorts","","","15615","",""
"","","","","","Socks","","","153564","",""
"","","","","","Sportswear","","","51959","All listings are being moved into [Activewear Trousers - 260969].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Suits","","","99754","",""
"","","","","","Swimwear","","","51919","",""
"","","","","","T-Shirts, Tops & Shirts","","","260966","New Category",""
"","","","","","Trousers","","","51920","",""
"","","","","-","T-Shirts, Tops & Shirts","","","175521","The Category ID is being changed to [260966].","Please update your category ID accordingly."
"","","","","","","Shirts","","152487","All listings are being moved into [T-Shirts, Tops & Shirts - 260966].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","","T-Shirts & Tops","","51960","All listings are being moved into [T-Shirts, Tops & Shirts - 260966].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Underwear","","","51973","",""
"","","","","","Uniforms","","","28016","",""
"","","","","","Bundles","","","15620","All listings are being moved into [Outfits & Sets - 156790].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Waistcoats","","","176957","All listings are being moved into [Outerwear - 51933].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Boys' Shoes","","","","57929","",""
"","","","-","Boys' Accessories","","","","57881","",""
"","","","","","Bags","","","57882","All listings are being moved into [Backpacks & Bags - 260988].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Belts & Belt Buckles","","","57883","",""
"","","","","","Braces","","","122320","",""
"","","","","","Gloves & Mittens","","","57885","",""
"","","","","","Hats","","","57884","",""
"","","","","","Keyrings","","","175524","",""
"","","","","","Scarves","","","122321","",""
"","","","","","Sunglasses","","","131411","",""
"","","","","","Ties","","","57886","",""
"","","","","","Umbrellas","","","175525","",""
"","","","","","Wallets","","","57887","",""
"","","","","","Wristbands","","","122322","All listings are being moved into [Bracelets - 50637].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Accessory Sets","","","260014","",""
"","","-","Girls","","","","","260015","",""
"","","","-","Girls' Clothing (2-16 Years)","","","","11462","",""
"","","","","-","Activewear","","","260974","New Category",""
"","","","","","","Activewear Jackets","","260975","New Category",""
"","","","","","","Activewear Trousers","","260976","New Category",""
"","","","","","","Activewear Shorts","","260977","New Category",""
"","","","","","","Activewear Skirts & Skorts","","261047","New Category",""
"","","","","","","Activewear Tops","","260978","New Category",""
"","","","","","","Hoodies & Sweatshirts","","260979","New Category",""
"","","","","","","Tracksuits & Sets","","260980","New Category",""
"","","","","","Dresses","","","51581","",""
"","","","","","Hoodies","","","152554","",""
"","","","","","Jeans","","","77411","",""
"","","","","","Jumpers & Cardigans","","","51582","",""
"","","","","","Jumpsuits & Playsuits","","","175528","",""
"","","","","","Leggings","","","152719","",""
"","","","","","Nightwear","","","99735","",""
"","","","","","Outerwear","","","51580","Renamed from [Coats, Jackets & Snowsuits]",""
"","","","","","Outfits & Sets","","","156801","",""
"","","","","","Shorts","","","15648","",""
"","","","","","Skirts & Skorts","","","51583","Renamed from [Skirts]",""
"","","","","","Skorts","","","152553","All listings are being moved into [Skirts & Skorts - 51583].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Socks & Tights","","","153797","",""
"","","","","","Sportswear","","","51584","All listings are being moved into [Activewear Trousers - 260976].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Swimwear","","","51567","",""
"","","","","","T-Shirts, Tops & Shirts","","","260965","New Category",""
"","","","","","Trousers","","","51568","",""
"","","","","-","T-Shirts, Tops & Shirts","","","175529","The Category ID is being changed to [260965].","Please update your category ID accordingly."
"","","","","","","Shirts & Blouses","","175768","All listings are being moved into [T-Shirts, Tops & Shirts - 260965].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","","T-Shirts & Tops","","51585","All listings are being moved into [T-Shirts, Tops & Shirts - 260965].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Underwear","","","51586","",""
"","","","","","Uniforms","","","28017","",""
"","","","","","Bundles","","","15652","All listings are being moved into [Outfits & Sets - 156801].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Girls' Shoes","","","","57974","",""
"","","","-","Girls' Accessories","","","","15628","",""
"","","","","","Bags","","","57917","All listings are being moved into [Backpacks & Bags - 260988].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Belts & Belt Buckles","","","57918","",""
"","","","","","Gloves & Mittens","","","57919","",""
"","","","","","Hair Accessories","","","57920","",""
"","","","","","Hats","","","15630","",""
"","","","","","Jewellery","","","175526","All listings are being moved into [Bracelets - 50637].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Keyrings","","","175527","",""
"","","","","","Wristbands","","","122342","All listings are being moved into [Bracelets - 50637].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Scarves & Shawls","","","57927","",""
"","","","","","Shoe Charms & Jewellery","","","150956","Renamed from [Shoe Charms]",""
"","","","","","Sunglasses","","","122340","",""
"","","","","","Umbrellas","","","122341","",""
"","","","","","Wallets","","","15629","Renamed from [Purses & Wallets]",""
"","","","","","Accessory Sets","","","260016","",""
"","","-","Unisex Kids","","","","","260017","",""
"","","","-","Unisex Kids' Clothing (2-16 Years)","","","","155198","",""
"","","","","-","Activewear","","","260981","New Category",""
"","","","","","","Activewear Jackets","","260982","New Category",""
"","","","","","","Activewear Trousers","","260983","New Category",""
"","","","","","","Activewear Shorts","","260984","New Category",""
"","","","","","","Activewear Tops","","260985","New Category",""
"","","","","","","Hoodies & Sweatshirts","","260986","New Category",""
"","","","","","","Tracksuits & Sets","","260987","New Category",""
"","","","","","Jeans","","","175658","",""
"","","","","","Jumpers & Cardigans","","","175657","",""
"","","","","","Nightwear","","","175656","",""
"","","","","","Outerwear","","","155201","Renamed from [Coats, Jackets & Snowsuits]",""
"","","","","","Shorts","","","175655","",""
"","","","","","Socks","","","175697","",""
"","","","","","Sweatshirts & Hoodies","","","155200","",""
"","","","","","Swimwear","","","175653","",""
"","","","","","Tops & T-Shirts","","","155199","",""
"","","","","","Trousers","","","175654","",""
"","","","","","Uniforms","","","175652","",""
"","","","","Unisex Kids' Shoes","","","","155202","",""
"","-","Baby","","","","","","260018","",""
"","","-","Baby & Toddler Clothing","","","","","260019","",""
"","","","","Babygrows & Playsuits","","","","260022","",""
"","","","","Bottoms","","","","260020","",""
"","","","","Christening Clothing","","","","139762","All listings are being moved into [Babygrows & Playsuits - 260022].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Coats, Jackets & Snowsuits","","","","260023","",""
"","","","","Dresses","","","","260021","",""
"","","","","Jumpers & Cardigans","","","","260029","",""
"","","","","Nightwear","","","","260026","",""
"","","","","Outfits & Sets","","","","260024","",""
"","","","","Skirts","","","","260025","",""
"","","","","Socks & Tights","","","","260027","",""
"","","","","Suits","","","","260028","",""
"","","","","Swimwear","","","","260030","",""
"","","","","Tops & T-Shirts","","","","260031","",""
"","","","","Underwear","","","","260032","",""
"","","","","Bundles","","","","260035","All listings are being moved into [Outfits & Sets - 260024].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Baby Shoes","","","","","147285","",""
"","","+","Baby Accessories","","","","","163222","",""
"","+","Specialty","","","","","","260033","",""
"+","Coins","","","","","","","11116","",""
"-","Collectables","","","","","","","1","",""
"","+","Advertising Collectables","","","","","","34","",""
"","+","Animal Collectables","","","","","","1335","",""
"","+","Animation Collectables","","","","","","13658","",""
"","+","Autographs","","","","","","14429","",""
"","+","Badges & Patches","","","","","","32615","",""
"","+","Blade Accs, Armours & Shields","","","","","","1401","",""
"","+","Breweriana","","","","","","562","",""
"","+","Casino Collectables","","","","","","898","",""
"","+","Collectable Bottles & Pots","","","","","","29797","",""
"","","Collectable Clocks","","","","","","397","",""
"","-","Collectable Card Games","","","","","","2536","Renamed from [Collectible Card Games]",""
"","","-","Magic: The Gathering","","","","","19107","This Category is being retired.",""
"","","","","MTG Individual Cards","","","","38292","All listings are being moved into [CCG Individual Cards - 183454].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","MTG Mixed Card Lots","","","","19113","All listings are being moved into [CCG Mixed Card Lots - 183455].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","MTG Sealed Booster Packs","","","","19109","All listings are being moved into [CCG Sealed Booster Packs - 183456].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","MTG Sealed Decks & Kits","","","","183445","All listings are being moved into [CCG Sealed Decks & Kits - 183457].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","MTG Player-Built Decks","","","","49196","All listings are being moved into [CCG Player-Built Decks - 183458].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","MTG Complete Sets","","","","19114","All listings are being moved into [CCG Complete Sets - 183459].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Other MTG Items","","","","218","All listings are being moved into [Other CCG Items - 2535].","Before 6 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","-","Pokémon Trading Card Game","","","","","183466","This Category is being retired.",""
"","","","","Pokémon Individual Cards","","","","2611","All listings are being moved into [CCG Individual Cards - 183454].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Pokémon Mixed Card Lots","","","","104049","All listings are being moved into [CCG Mixed Card Lots - 183455].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Pokémon Sealed Booster Packs","","","","4301","All listings are being moved into [CCG Sealed Booster Packs - 183456].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Pokémon Sealed Decks & Kits","","","","183467","All listings are being moved into [CCG Sealed Decks & Kits - 183457].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Pokémon Player-Built Decks","","","","183468","All listings are being moved into [CCG Player-Built Decks - 183458].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Pokémon Complete Sets","","","","104046","All listings are being moved into [CCG Complete Sets - 183459].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Other Pokémon TCG Items","","","","2608","All listings are being moved into [Other CCG Items - 2535].","Before 6 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","-","Yu-Gi-Oh! Trading Card Game","","","","","31393","This Category is being retired.",""
"","","","","Yu-Gi-Oh! Individual Cards","","","","31395","All listings are being moved into [CCG Individual Cards - 183454].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Yu-Gi-Oh! Mixed Card Lots","","","","49209","All listings are being moved into [CCG Mixed Card Lots - 183455].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Yu-Gi-Oh! Sealed Booster Packs","","","","31396","All listings are being moved into [CCG Sealed Booster Packs - 183456].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Yu-Gi-Oh! Sealed Decks & Kits","","","","183452","All listings are being moved into [CCG Sealed Decks & Kits - 183457].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Yu-Gi-Oh! Player-Built Decks","","","","183453","All listings are being moved into [CCG Player-Built Decks - 183458].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Yu-Gi-Oh! Complete Sets","","","","49203","All listings are being moved into [CCG Complete Sets - 183459].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Other Yu-Gi-Oh! TCG Items","","","","31397","All listings are being moved into [Other CCG Items - 2535].","Before 6 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","CCG Individual Cards","","","","","183454","",""
"","","","CCG Sealed Booster Packs","","","","","183456","",""
"","","","CCG Sealed Booster Boxes","","","","","261044","New Category",""
"","","","CCG Sealed Booster Cases","","","","","261045","New Category",""
"","","","CCG Sealed Decks & Kits","","","","","183457","",""
"","","","CCG Player-Built Decks","","","","","183458","",""
"","","","CCG Complete Sets","","","","","183459","",""
"","","","CCG Mixed Card Lots","","","","","183455","",""
"","","-","CCG Supplies & Accessories","","","","","183460","",""
"","","","","CCG Albums & Pages","","","","183465","",""
"","","","","CCG Card Sleeves","","","","183461","",""
"","","","","CCG Coins","","","","261039","New Category",""
"","","","","CCG Counters","","","","261040","New Category",""
"","","","","CCG Deck Boxes, Cases & Tins","","","","183462","Renamed from [CCG Deck Boxes]",""
"","","","","CCG Dice","","","","183463","Renamed from [CCG Dice & Counters]",""
"","","","","CCG Dice Pouches","","","","261042","New Category",""
"","","","","CCG Playmats","","","","183464","",""
"","","","","CCG Playmat Tubes","","","","261043","New Category",""
"","","","CCG Price Guides & Publications","","","","","261041","New Category",""
"","","","Other CCG Items","","","","","2535","",""
"","+","Decorative Ornaments & Plates","","","","","","13777","",""
"","","Virtual & Crypto Collectables","","","","","","258032","",""
"","+","Disneyana","","","","","","137","",""
"","+","Ethnographic Collectables","","","","","","3913","",""
"","+","Fantasy, Myth & Magic","","","","","","10860","",""
"","+","Flags","","","","","","13881","",""
"","+","Historical Memorabilia","","","","","","259135","",""
"","+","Household Collectables","","","","","","13905","",""
"","+","Jukeboxes","","","","","","13720","",""
"","","Keyrings","","","","","","3628","",""
"","+","Kitchenalia","","","","","","81","",""
"","+","Masonic","","","","","","50188","",""
"","+","Memorabilia","","","","","","259145","",""
"","+","Metalware","","","","","","1430","",""
"","+","Militaria","","","","","","13956","",""
"","+","Model Railways & Trains","","","","","","180250","",""
"","+","Moneyboxes & Piggy Banks","","","","","","66503","",""
"","-","Non-Sport Trading Cards","","","","","","182982","",""
"","","-","Batman Trading Cards","","","","","182983","This Category is being retired.",""
"","","","","Trading Card Singles","","","","37893","All listings are being moved into [183050].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Trading Card Lots","","","","182984","All listings are being moved into [183051].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Complete Trading Card Sets","","","","182985","All listings are being moved into [183052].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Sealed Trading Cards","","","","182986","All listings are being moved into [Sealed Trading Card Packs - 183053].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","-","Benchwarmer","","","","","182987","This Category is being retired.",""
"","","","","Trading Card Singles","","","","99978","All listings are being moved into [183050].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Trading Card Lots","","","","182988","All listings are being moved into [183051].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Complete Trading Card Sets","","","","182989","All listings are being moved into [183052].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Sealed Trading Cards","","","","182990","All listings are being moved into [Sealed Trading Card Packs - 183053].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Benchwarmer Merchandise","","","","182991","All listings are being moved into [Other Non-Sport Trading Card Merchandise - 219].","Before 6 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","-","Doctor Who Trading Cards","","","","","182992","This Category is being retired.",""
"","","","","Trading Card Singles","","","","60801","All listings are being moved into [183050].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Trading Card Lots","","","","182993","All listings are being moved into [183051].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Complete Trading Card Sets","","","","182994","All listings are being moved into [183052].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Sealed Trading Cards","","","","182995","All listings are being moved into [Sealed Trading Card Packs - 183053].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","-","Game of Thrones Trading Cards","","","","","182996","This Category is being retired.",""
"","","","","Trading Card Singles","","","","182997","All listings are being moved into [183050].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
