"October 2020 : UK Category Changes","","","","","","","","","",""
"","","","","","","","","","",""
"Change Type","Count","","","","","","","","",""
"New","276","","","","","","","","",""
"Retired","405","","","","","","","","",""
"Rename","176","","","","","","","","",""
"Move","52","","","","","","","","",""
"Move & Rename","23","","","","","","","","",""
"Total","932","","","","","","","","",""
"","","","","","","","","","",""
"Category Name","","","","","","","","Category ID","Comments","Actions Required"
"+","Antiques","","","","","","","20081","",""
"+","Art","","","","","","","550","",""
"","","","","Industrial Coatings & Sealants","","","","260875","New Category",""
"","","","","Industrial Paints","","","","260876","New Category",""
"","","","","Paint Mixers & Shakers","","","","260877","New Category",""
"","","","","Paint Sprayers & Striping Machines","","","","71403","New Category",""
"","","","","Paint Sprayer Parts","","","","260878","New Category",""
"","","","","Paint Strippers & Removers","","","","260879","New Category",""
"","","","","Plastic Sheeting & Drop Cloths","","","","260906","New Category",""
"","","-","Industrial Plumbing & Fixtures","","","","","260880","New Category",""
"","","","","Drain Components","","","","260881","New Category",""
"","","","","Taps","","","","63897","Moved from [Plumbing-63896]",""
"","","","","Tap Accessories","","","","260882","New Category",""
"","","","","Pipe & Tubing","","","","63898","Moved from [Plumbing-63896] Renamed from [Pipes]",""
"","","","","Pipe Fittings","","","","63900","Moved from [Plumbing-63896]",""
"","","","","Plumbing Accessories","","","","260883","New Category",""
"","","","","Pipe Insulation","","","","260884","New Category",""
"","","","","Sinks","","","","124539","New Category",""
"","","","","Sink Accessories","","","","260885","New Category",""
"","","","","Valves","","","","63907","Moved from [Plumbing-63896]",""
"","","-","Industrial Stairways","","","","","260893","New Category",""
"","","","","Balusters & Spindles","","","","260894","New Category",""
"","","","","Handrails","","","","260895","New Category",""
"","","","","Handrail Fittings","","","","260896","New Category",""
"","","","","Industrial Stair Units","","","","260897","New Category",""
"","","","","Posts","","","","260898","New Category",""
"","","","","Stair Railing Kits","","","","260899","New Category",""
"","","","","Treads & Risers","","","","260900","New Category",""
"","","-","Insulation & Accessories","","","","","260908","New Category",""
"","","","","Insulation","","","","63894","Moved from [Building Materials & Supplies-41498]",""
"","","","","Insulation Accessories","","","","260862","New Category",""
"","","-","Moulding & Millwork","","","","","260867","New Category",""
"","","","","Accents & Trim","","","","260868","New Category",""
"","","","","Corbels & Supports","","","","260871","New Category",""
"","","","","Dado Rails","","","","260870","New Category",""
"","","","","Picture Rails","","","","260872","New Category",""
"","","","","Skirting Boards","","","","260869","New Category",""
"","","","","Window & Door Trim","","","","260873","New Category",""
"","","","","Wood Applique","","","","260874","New Category",""
"","","-","Plasterboard Construction","","","","","260853","New Category",""
"","","","","Plasterboard Panels","","","","34936","New Category",""
"","","","","Plaster & Joint Compounds","","","","260854","New Category",""
"","","","","Plasterboard Tape & Accessories","","","","260855","New Category",""
"","","-","Roofing & Gutters","","","","","260886","New Category",""
"","","","","Gutters","","","","260887","New Category",""
"","","","","Gutter Accessories","","","","260888","New Category",""
"","","","","Roof Caps","","","","260889","New Category",""
"","","","","Roof Flashing","","","","260890","New Category",""
"","","","","Roof Tiles & Shingles","","","","22566","New Category",""
"","","","","Roof Underlayment","","","","260891","New Category",""
"","","","","Roof Vents","","","","260892","New Category",""
"","","","","Roofing Sheets & Panels","","","","260907","New Category",""
"","","-","Timber & Composites","","","","","260863","New Category",""
"","","","","Timber","","","","147791","Moved from [Carpentry & Woodwork-147790] Renamed from [Timber/Wood]",""
"","","","","Wall Paneling & Wainscoting","","","","260864","New Category",""
"","","","","Wood Composite Panels & Sheets","","","","260865","New Category",""
"","","","","Wood Veneer Sheets","","","","260866","New Category",""
"","","-","Windows & Window Hardware","","","","","260901","New Category",""
"","","","","Glass Blocks & Glass Panels","","","","124452","New Category",""
"","","","","Industrial & Commercial Windows","","","","260902","New Category",""
"","","","","Window Hardware","","","","114015","New Category",""
"","","","","Window Screens","","","","260903","New Category",""
"","","","","Window Sills","","","","260904","New Category",""
"","","","Other Building Materials","","","","","1268","New Category",""
"","+","Businesses For Sale","","","","","","11759","",""
"","+","Cleaning & Janitorial Supplies","","","","","","46534","",""
"","+","CNC, Metalworking & Manufacturing","","","","","","11804","",""
"","-","Containers & Pre-Fab Buildings","","","","","","148462","This Category is being retired.",""
"","","","Shipping & Storage Containers","","","","","112422","All listings are being moved into [Shipping Containers - 92079].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Other Pre-Fab Buildings","","","","","148463","All listings are being moved into [Modular & Prefabricated Buildings - 55805].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","-","Electrical Equipment & Supplies","","","","","","92074","",""
"","","-","Circuit Breakers & Disconnectors","","","","","181815","",""
"","","","","Circuit Breakers","","","","185134","",""
"","","","","Disconnectors & Load Switches","","","","185135","",""
"","","","","Ground Fault Interrupters & RCDs","","","","129085","Renamed from [Residual Current Devices/Ground Fault Interrupters]",""
"","","","","Circuit Breaker Accessories","","","","181821","",""
"","","","","Other Circuit Breakers","","","","181822","All listings are being moved into [Circuit Breakers - 185134].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","-","Contactors","","","","","181679","",""
"","","","","Definite Purpose Contactors","","","","181682","",""
"","","","","IEC & NEMA Contactors","","","","181680","",""
"","","","","Lighting Contactors","","","","181683","",""
"","","","","Auxiliary Contacts & Blocks","","","","181684","All listings are being moved into [Contactor Accessories - 181685].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Vacuum Contactors","","","","260819","New Category",""
"","","","","Contactor Accessories","","","","181685","Renamed from [Other Contactors & Accessories]",""
"","","-","Electrical Boxes, Panels & Boards","","","","","181917","",""
"","","","","Electrical Boxes & Enclosures","","","","42886","",""
"","","","","Electrical Panel & Distribution Boards","","","","55824","Renamed from [Electrical Panels/Distribution Boards]",""
"","","","","Electrical Enclosure Accessories","","","","181919","",""
"","","","","Electrical Panel & Board Accessories","","","","181918","Renamed from [Electrical Panel/Board Accessories]",""
"","","-","Electrical Plugs, Sockets & Covers","","","","","181926","Renamed from [Electrical Plugs, Outlets & Covers]",""
"","","","","Electrical Sockets","","","","53112","Renamed from [Electrical Outlets]",""
"","","","","Electrical Plugs","","","","73135","",""
"","","","","Socket Plates & Covers","","","","181927","Renamed from [Outlet Plates & Covers]",""
"","","","","Socket Accessories","","","","181928","Renamed from [Outlet Accessories]",""
"","","-","Electronic Components & Semiconductors","","","","","182412","",""
"","","","","Capacitors","","","","4662","",""
"","","","-","Circuit Boards & Prototyping","","","","185137","",""
"","","","","","Breadboards & Pinboards","","","185138","",""
"","","","","","Printed Circuit Boards (PCBs)","","","185140","",""
"","","","","","Other Circuit Boards & Prototyping","","","36327","All listings are being moved into [Printed Circuit Boards (PCBs) - 185140].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Component Solenoids","","","","181878","",""
"","","","-","LEDs, LCDs & Display Modules","","","","181879","",""
"","","","","","Individual LEDS","","","181880","",""
"","","","","","LED Arrays","","","181881","",""
"","","","","+","LED Display Modules","","","181882","",""
"","","","","","LCD Display Modules","","","181887","",""
"","","","","","LCD Controllers & Drivers","","","181888","",""
"","","","","","Vacuum Fluorescent Displays","","","181889","",""
"","","","","","LED Accessories","","","181886","",""
"","","","","","LCD & VFD Accessories","","","181890","",""
"","","","-","Passive Components","","","","182415","",""
"","","","","","Crystals & Oscillators","","","7286","",""
"","","","","","Fixed Resistors","","","181912","",""
"","","","","","Inductors, Coils & Filters","","","7288","",""
"","","","","","Photoresistors (LDR)","","","185141","",""
"","","","","+","Potentiometers & Variable Resistors","","","185142","",""
"","","","","","Thermistors","","","181914","",""
"","","","","","Varistors","","","73144","",""
"","","","","","Other Passive Components","","","185143","All listings are being moved into [Other Electrical Equipment & Supplies - 92078].","Before 6 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","-","Semiconductors & Actives","","","","36330","",""
"","","","","-","Diodes","","","181891","This Category is being retired.",""
"","","","","","","Photodiodes","","181893","All listings are being moved into [Diodes & Rectifiers - 260820].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","","PIN Diodes","","181894","All listings are being moved into [Diodes & Rectifiers - 260820].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","","Schottky Diodes","","181895","All listings are being moved into [Diodes & Rectifiers - 260820].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","","TVS Diodes","","181897","All listings are being moved into [Diodes & Rectifiers - 260820].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","","Varactors","","181898","All listings are being moved into [Diodes & Rectifiers - 260820].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","","Zener Diodes","","181899","All listings are being moved into [Diodes & Rectifiers - 260820].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","","Bridge Rectifier Modules","","181900","All listings are being moved into [Diodes & Rectifiers - 260820].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","","Other Diodes","","181902","All listings are being moved into [Diodes & Rectifiers - 260820].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Diodes & Rectifiers","","","260820","New Category",""
"","","","","-","Integrated Circuits (ICs)","","","181904","",""
"","","","","","","Other Integrated Circuits","","181909","All listings are being moved into [Other Electrical Equipment & Supplies - 92078].","Before 6 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","","","","Chipsets","","260821","New Category",""
"","","","","","","Embedded Processors & Controllers","","159680","Renamed from [Microcontrollers & Programmers]",""
"","","","","","","Interface ICs","","181905","",""
"","","","","","","Memory ICs","","260822","New Category",""
"","","","","","","Optocouplers","","181908","",""
"","","","","","","Power Management ICs","","181906","",""
"","","","","","","Sensor ICs","","181907","",""
"","","","","","IC Sockets","","","117488","Moved from [Wire & Cable Connectors-65512]",""
"","","","","","Thyristors & SCRs","","","185144","",""
"","","","","","Transistors","","","4666","",""
"","","","","","Power Regulators & Converters","","","117000","",""
"","","","","","Buzzers & Speakers","","","58162","",""
"","","","","","Development Kits & Boards","","","65507","",""
"","","","","","Other Semiconductors & Actives","","","36332","All listings are being moved into [Other Electrical Equipment & Supplies - 92078].","Before 6 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","-","Thermal Management","","","","182017","",""
"","","","","","Component Heaters","","","182018","",""
"","","","","","Component Thermostats & Hygrostats","","","182019","",""
"","","","","","Electronic Component Fans","","","65489","",""
"","","","","","Heat Exchangers","","","182020","",""
"","","","","","Heat Sinks","","","66946","",""
"","","","","","Heat Sink Fan Assemblies","","","182021","",""
"","","","","","Peltier Coolers","","","182022","",""
"","","","","","Thermal Management Mounting","","","182023","",""
"","","","","","Other Thermal Management","","","182024","All listings are being moved into [Other Electrical Equipment & Supplies - 92078].","Before 6 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","","Electronic Components Books & Manuals","","","","41519","",""
"","","","","Other Electronic Components","","","","4660","All listings are being moved into [Other Electrical Equipment & Supplies - 92078].","Before 6 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","-","Fuses","","","","","181823","",""
"","","","","Cartridge Fuses","","","","129086","All listings are being moved into [Fuses & Links - 260823].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Centred Tag Fuses","","","","129088","All listings are being moved into [Fuses & Links - 260823].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","D-Type Fuses","","","","181824","All listings are being moved into [Fuses & Links - 260823].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Flush End Contacts Fuses","","","","181825","All listings are being moved into [Fuses & Links - 260823].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Neutral Links","","","","181826","All listings are being moved into [Fuses & Links - 260823].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Offset Tag Fuses","","","","181827","All listings are being moved into [Fuses & Links - 260823].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Resettable Fuses","","","","185145","All listings are being moved into [Fuses & Links - 260823].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Solid Links","","","","181828","All listings are being moved into [Fuses & Links - 260823].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Thermal Fuses","","","","181829","All listings are being moved into [Fuses & Links - 260823].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Fuses & Links","","","","260823","New Category",""
"","","","","Fuse Kits","","","","181830","",""
"","","","-","Fuse Accessories","","","","181832","The Category ID is being changed to [260824].","Please update your category ID accordingly."
"","","","","-","Fuse Blocks & Holders","","","181833","This Category is being retired.",""
"","","","","","","Fuse Blocks","","181834","All listings are being moved into [Fuse Accessories - 260824].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","","Fuse Clips","","181835","All listings are being moved into [Fuse Accessories - 260824].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","","Fuse Holders","","181836","All listings are being moved into [Fuse Accessories - 260824].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Fuse Pullers & Testers","","","185146","All listings are being moved into [Fuse Accessories - 260824].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
